id_events,day,price,time,eventsgroup_id_events_group,location_id,organiser_login_email,importance,spots,price
42,12/3/2018,44.15,1:46,43,3,edutnall3@github.io,1,20,21.1
43,14/3/2018,38.93,10:16,44,4,edutnall3@github.io,1,50,18.9
44,31/3/2018,7.69,3:02,45,5,edutnall3@github.io,1,50,30
45,9/1/2018,38.17,10:35,46,6,edutnall3@github.io,1,50,21.1
46,7/5/2018,35.02,5:08,47,7,edutnall3@github.io,1,50,32
47,25/4/2018,60.16,9:20,48,8,edutnall3@github.io,1,50,35
48,28/1/2018,67.57,12:19,49,9,edutnall3@github.io,1,50,355
49,17/2/2018,74.19,2:09,50,10,edutnall3@github.io,1,50,10
50,30/5/2018,37.75,8:35,1,1,edutnall3@github.io,11,50,11
51,1/3/2018,94.39,10:46,2,2,edutnall3@github.io,1,10,154
52,11/3/2018,82.53,4:11,3,3,edutnall3@github.io,1,20,120
53,2/6/2018,41.94,6:47,4,4,edutnall3@github.io,1,50,125
54,12/4/2018,12.44,5:56,5,5,edutnall3@github.io,1,50,11
55,1/2/2018,87.53,9:46,6,6,edutnall3@github.io,1,50,21.1
56,20/5/2018,92.57,3:51,7,7,edutnall3@github.io,1,50,32
57,19/2/2018,37.16,1:40,8,8,edutnall3@github.io,1,50,35
58,5/5/2018,68.33,11:42,9,9,edutnall3@github.io,1,50,355
59,8/4/2018,27.29,1:44,10,10,edutnall3@github.io,1,50,10
60,26/5/2018,22.58,5:54,11,1,edutnall3@github.io,1,50,11
61,30/5/2018,77.56,11:54,12,2,edutnall3@github.io,11,40,154
62,7/4/2018,70.94,1:38,13,3,edutnall3@github.io,1,30,120
63,12/2/2018,49.81,5:12,14,4,edutnall3@github.io,1,5,125
64,16/2/2018,20.8,7:35,15,5,edutnall3@github.io,1,4,11
65,28/2/2018,27.92,12:31,16,6,edutnall3@github.io,1,3,21.1
66,3/3/2018,66.54,5:24,17,7,edutnall3@github.io,1,2,32
67,26/3/2018,23.18,7:07,18,8,edutnall3@github.io,1,1,35
68,26/3/2018,22.26,6:04,19,9,edutnall3@github.io,1,8,355
69,27/1/2018,40.33,10:23,20,10,edutnall3@github.io,1,9,10
70,3/3/2018,62.77,6:59,21,1,edutnall3@github.io,1,9,11
71,10/5/2018,74.65,4:08,22,2,edutnall3@github.io,1,77,154
72,17/5/2018,56.46,5:49,23,3,edutnall3@github.io,1,5,120
73,10/1/2018,97.91,2:40,24,4,edutnall3@github.io,1,100,125
74,31/3/2018,81.14,5:16,25,5,edutnall3@github.io,1,2,11
75,2/5/2018,91.63,6:08,26,6,edutnall3@github.io,11,2,21.1
76,15/3/2018,17.64,11:39,27,7,edutnall3@github.io,1,3,32
77,26/1/2018,70.5,1:49,28,8,edutnall3@github.io,1,4,35
78,10/1/2018,87.3,11:47,29,9,edutnall3@github.io,1,5,355
79,15/4/2018,55.77,6:04,30,10,edutnall3@github.io,1,6,10
80,3/6/2018,75.66,3:37,31,1,edutnall3@github.io,1,9,11
81,21/1/2018,91.53,3:01,32,2,edutnall3@github.io,11,8,154
82,22/5/2018,43.9,12:13,33,3,edutnall3@github.io,1,7,120
83,4/2/2018,16.13,7:34,34,4,edutnall3@github.io,1,5,125
84,31/3/2018,71.28,3:21,35,5,edutnall3@github.io,1,2,11
85,17/2/2018,38.34,2:37,36,6,edutnall3@github.io,1,3,21.1
86,11/2/2018,98.18,11:07,37,7,edutnall3@github.io,1,6,32
87,24/3/2018,97.84,12:56,38,8,edutnall3@github.io,1,4,35
88,9/2/2018,87.3,8:47,39,9,edutnall3@github.io,1,7,355
89,31/5/2018,25.3,10:44,40,10,edutnall3@github.io,1,5,10
90,28/5/2018,65.63,5:09,41,1,edutnall3@github.io,1,8,11
91,7/3/2018,87.6,10:09,42,2,edutnall3@github.io,1,5,154
92,22/5/2018,30.18,7:22,43,3,edutnall3@github.io,11,8,120
93,15/3/2018,50.5,11:01,44,4,edutnall3@github.io,1,5,125
94,1/2/2018,66.72,9:19,45,5,edutnall3@github.io,1,2,11
95,24/4/2018,41.54,9:18,46,6,edutnall3@github.io,11,3,21.1
96,26/1/2018,96.55,9:46,47,7,edutnall3@github.io,1,6,32
97,14/3/2018,51.85,8:53,48,8,edutnall3@github.io,1,4,35
98,22/2/2018,87.4,9:07,49,9,edutnall3@github.io,1,77,355
99,12/5/2018,10.05,3:06,50,10,edutnall3@github.io,1,4,10
100,24/5/2018,7.41,9:45,1,1,edutnall3@github.io,1,1,1000
